file,pitch_hist_sim,rhythm_diversity,repetition_ratio,n_notes,duration_sec
random_sample_01.mid,0.09433962264150944,0.006289308176100629,0.0,477,7.875
random_sample_02.mid,0.150730411686587,0.00796812749003984,0.0,502,7.875
random_sample_03.mid,0.11988304093567251,0.005847953216374269,0.0,513,7.875
random_sample_04.mid,0.12314225053078558,0.006369426751592357,0.0,471,7.875
random_sample_05.mid,0.13043478260869562,0.008695652173913044,0.0021929824561403508,460,7.875
interp_step_01.mid,0.3333333333333333,0.023809523809523808,0.0,42,7.875
interp_step_02.mid,0.38,0.04,0.0,25,7.875
interp_step_03.mid,0.5098039215686275,0.058823529411764705,0.0,17,7.875
interp_step_04.mid,0.49999999999999994,0.0625,0.0,16,7.875
interp_step_05.mid,0.4333333333333333,0.06666666666666667,0.0,15,7.875
interp_step_06.mid,0.39743589743589736,0.038461538461538464,0.0,26,7.875
interp_step_07.mid,0.47435897435897434,0.038461538461538464,0.0,26,7.875
interp_step_08.mid,0.45333333333333337,0.04,0.0,25,7.875
ae_sample_01.mid,0.4462365591397849,0.03225806451612903,0.0,31,15.875
ae_sample_02.mid,0.24137931034482765,0.017241379310344827,0.0,58,15.875
ae_sample_03.mid,0.08627450980392155,0.011764705882352941,0.0,85,15.875
ae_sample_04.mid,0.2916666666666667,0.020833333333333332,0.0,48,15.875
ae_sample_05.mid,0.13145539906103287,0.014084507042253521,0.0,71,15.875
vae_classical_sample_01.mid,1.833333333333333,0.5,0.0,2,15.875
vae_classical_sample_06.mid,1.833333333333333,0.5,0.0,2,15.875
vae_electronic_sample_05.mid,0.10569105691056918,0.012195121951219513,0.0,82,15.875
vae_jazz_sample_02.mid,1.6666666666666663,0.5,0.0,2,15.875
vae_jazz_sample_07.mid,1.833333333333333,0.5,0.0,2,15.875
vae_pop_sample_04.mid,0.27380952380952384,0.017857142857142856,0.0,56,15.875
vae_rock_sample_03.mid,1.6666666666666663,0.3333333333333333,0.0,3,15.875
vae_rock_sample_08.mid,1.6666666666666663,0.5,0.0,2,15.875
transformer_classical_sample_04.mid,0.9774774774774776,0.17567567567567569,0.05970149253731343,74,112.77499999999999
transformer_classical_sample_06.mid,0.819047619047619,0.14285714285714285,0.0,70,26.259090909090908
transformer_classical_sample_08.mid,0.8897435897435898,0.18461538461538463,0.0,65,36.57954545454545
transformer_classical_sample_10.mid,1.1733333333333333,0.17333333333333334,0.014084507042253521,75,40.25909090909091
transformer_electronic_sample_05.mid,1.1428571428571428,0.09523809523809523,0.05263157894736842,63,8.775
transformer_jazz_sample_01.mid,0.6839080459770115,0.10344827586206896,0.0,58,9.936363636363636
transformer_jazz_sample_09.mid,1.0871794871794873,0.1076923076923077,0.0,65,11.354545454545454
transformer_pop_sample_07.mid,1.2866666666666666,0.16,0.20689655172413793,75,33.08181818181818
transformer_rock_sample_02.mid,0.7923076923076924,0.16923076923076924,0.0,65,29.547727272727272
transformer_rock_sample_03.mid,0.8461538461538463,0.13846153846153847,0.05172413793103448,65,19.870454545454546
rlhf_classical_sample_01.mid,1.3333333333333335,0.6,0.0,5,10.838636363636363
rlhf_classical_sample_02.mid,1.1666666666666667,0.6,0.0,5,13.870454545454544
rlhf_classical_sample_03.mid,1.6666666666666665,0.5,0.0,2,5.9363636363636365
rlhf_classical_sample_04.mid,1.4999999999999998,0.5,0.0,4,19.018181818181816
rlhf_classical_sample_05.mid,1.3333333333333333,0.6,0.0,5,11.031818181818181
rlhf_classical_sample_07.mid,1.3333333333333333,1.0,0.0,5,9.870454545454544
rlhf_classical_sample_10.mid,1.333333333333333,0.8333333333333334,0.0,6,18.51590909090909
rlhf_electronic_sample_04.mid,1.3333333333333333,1.0,0.0,6,18.83863636363636
rlhf_electronic_sample_06.mid,1.0,0.5714285714285714,0.0,7,5.225
rlhf_electronic_sample_09.mid,1.0,0.8571428571428571,0.0,7,17.097727272727273
rlhf_jazz_sample_02.mid,1.0,0.7142857142857143,0.0,7,20.51590909090909
rlhf_jazz_sample_05.mid,1.1666666666666667,0.8,0.0,5,12.322727272727272
rlhf_jazz_sample_06.mid,1.1666666666666667,0.625,0.0,8,9.354545454545454
rlhf_jazz_sample_09.mid,0.5,0.3,0.0,10,16.452272727272728
rlhf_pop_sample_03.mid,1.0000000000000002,0.5,0.0,8,14.113636363636363
rlhf_pop_sample_08.mid,1.3333333333333335,0.75,0.0,4,16.0
rlhf_pop_sample_10.mid,1.1666666666666667,0.625,0.0,8,9.161363636363635
rlhf_rock_sample_01.mid,1.0,0.42857142857142855,0.0,7,11.936363636363636
